problem_name,agent_id,user_id,paas_score
Set Product,zimmerman,798,7
Set Product,zimmerman,162,7
All permutations,baseline,591,5
Set Product,zimmerman,806,9
Set Product,zimmerman,219,7
All permutations,zimmerman,219,5
All permutations,baseline,205,6
Set Product,chi,636,8
Set Product,chi,811,8
All permutations,zimmerman,722,3
Set Product,zimmerman,555,8
Set Product,zimmerman,196,4
Set Product,zimmerman,684,7
Set Product,chi,492,4
All permutations,zimmerman,218,6
Set Product,baseline,58,5
Set Product,chi,629,7
Set Product,baseline,537,7
All permutations,zimmerman,684,4
Set Product,zimmerman,808,8
All permutations,baseline,763,6
All permutations,baseline,809,4
All permutations,zimmerman,239,9
All permutations,baseline,271,8
Set Product,baseline,306,8
Set Product,baseline,92,9
Set Product,baseline,383,9
Set Product,baseline,17,8
All permutations,zimmerman,541,6
Set Product,zimmerman,535,6
Set Product,baseline,744,7
All permutations,baseline,306,5
All permutations,zimmerman,171,4
Set Product,chi,90,1
Set Product,baseline,667,8
All permutations,baseline,744,9
Set Product,baseline,430,4
Set Product,chi,201,5
Set Product,baseline,558,6
Set Product,chi,379,8
All permutations,chi,379,8
All permutations,zimmerman,757,6
Set Product,baseline,396,6
Set Product,baseline,621,4
Set Product,zimmerman,770,8
All permutations,zimmerman,634,6
Set Product,zimmerman,50,4
All permutations,zimmerman,63,6
All permutations,baseline,769,6
All permutations,chi,144,7
Set Product,zimmerman,194,7
All permutations,zimmerman,194,8
All permutations,zimmerman,185,6
All permutations,zimmerman,696,9
All permutations,chi,170,6
Set Product,baseline,93,8
All permutations,chi,629,8
Set Product,zimmerman,696,7
Set Product,zimmerman,107,6
Set Product,zimmerman,432,4
All permutations,zimmerman,432,7
Set Product,zimmerman,739,9
All permutations,zimmerman,739,8
Set Product,baseline,86,7
Set Product,chi,737,9
Set Product,baseline,8,4
Set Product,chi,445,9
All permutations,chi,644,6
Complex Numbers,zimmerman,218,5
All permutations,baseline,383,8
Set Product,zimmerman,20,8
All permutations,baseline,117,7
Complex Numbers,chi,367,3
Complex Numbers,chi,759,9
Averager,chi,759,6
Set Product,zimmerman,308,7
Set Product,baseline,706,9
Set Product,chi,449,6
Complex Numbers,baseline,7,3
Set Product,zimmerman,224,8
All permutations,baseline,428,5
All permutations,baseline,161,3
Set Product,zimmerman,710,7
Set Product,chi,423,6
Set Product,zimmerman,695,7
All permutations,zimmerman,695,7
All permutations,zimmerman,308,7
Complex Numbers,baseline,667,6
Averager,chi,681,4
Complex Numbers,baseline,383,6
Set Product,zimmerman,82,7
Complex Numbers,chi,456,6
Set Product,zimmerman,409,7
Set Product,zimmerman,206,7
Averager,chi,456,2
Complex Numbers,baseline,430,2
Set Product,zimmerman,315,7
Complex Numbers,baseline,576,5
All permutations,baseline,21,7
Complex Numbers,zimmerman,800,7
Complex Numbers,chi,379,7
Averager,chi,66,3
Averager,chi,530,6
Complex Numbers,chi,530,7
Complex Numbers,baseline,311,3
All permutations,baseline,118,8
Complex Numbers,baseline,558,4
Set Product,chi,392,8
Set Product,chi,566,6
Set Product,chi,563,9
Averager,chi,449,4
Set Product,baseline,795,8
Complex Numbers,chi,73,4
Set Product,zimmerman,764,6
Complex Numbers,chi,284,4
Averager,zimmerman,696,2
Complex Numbers,baseline,659,7
Set Product,zimmerman,604,7
Complex Numbers,zimmerman,696,7
Set Product,baseline,545,5
Complex Numbers,baseline,175,4
All permutations,baseline,795,8
Complex Numbers,zimmerman,541,5
Set Product,baseline,51,6
Set Product,zimmerman,747,5
All permutations,baseline,506,7
All permutations,zimmerman,747,5
All permutations,baseline,51,6
Complex Numbers,zimmerman,739,6
Set Product,baseline,112,6
Set Product,baseline,230,9
Set Product,chi,47,4
Averager,zimmerman,739,5
Binary Tree Depth,chi,430,3
Set Product,chi,728,6
Dynamic Queue,baseline,162,8
Averager,zimmerman,174,4
Complex Numbers,zimmerman,760,4
Set Product,zimmerman,362,8
Set Product,zimmerman,743,7
Averager,zimmerman,432,6
Complex Numbers,zimmerman,432,7
Averager,zimmerman,542,5
All permutations,chi,470,9
All permutations,zimmerman,315,6
Set Product,baseline,647,9
Averager,baseline,243,4
Complex Numbers,chi,566,9
Complex Numbers,zimmerman,224,4
