problem_name,agent_id,user_id,quizAnswer
Set Product,zimmerman,798,3
Set Product,zimmerman,162,3
All permutations,baseline,591,2
Set Product,zimmerman,806,3
Set Product,zimmerman,219,2
All permutations,zimmerman,219,3
All permutations,baseline,205,1
Set Product,chi,636,2
Set Product,zimmerman,555,3
Set Product,zimmerman,196,2
Set Product,zimmerman,684,1
Set Product,chi,492,2
All permutations,zimmerman,218,3
Set Product,baseline,58,3
Set Product,chi,629,2
Set Product,baseline,537,3
All permutations,zimmerman,684,3
Set Product,zimmerman,808,3
All permutations,baseline,763,1
All permutations,baseline,809,1
All permutations,baseline,271,3
Set Product,baseline,306,1
Set Product,baseline,92,2
Set Product,baseline,383,2
Set Product,baseline,17,2
All permutations,zimmerman,541,2
Set Product,zimmerman,535,3
Set Product,baseline,744,3
All permutations,baseline,306,3
All permutations,zimmerman,171,3
Set Product,chi,90,3
Set Product,baseline,667,2
All permutations,baseline,744,3
Set Product,baseline,430,3
Set Product,chi,201,3
Set Product,baseline,558,2
All permutations,chi,379,3
All permutations,zimmerman,757,3
Set Product,baseline,396,2
Set Product,zimmerman,770,2
All permutations,zimmerman,634,3
Set Product,zimmerman,50,2
All permutations,zimmerman,63,3
All permutations,chi,144,3
All permutations,zimmerman,194,3
All permutations,zimmerman,185,2
All permutations,zimmerman,696,3
All permutations,chi,170,2
Set Product,baseline,93,2
All permutations,chi,629,1
Set Product,zimmerman,696,2
Set Product,zimmerman,107,3
Set Product,zimmerman,432,3
All permutations,zimmerman,432,3
Set Product,zimmerman,739,2
Set Product,baseline,86,2
Set Product,chi,737,3
Set Product,chi,445,1
All permutations,chi,644,1
Complex Numbers,zimmerman,218,2
Set Product,zimmerman,20,2
All permutations,baseline,117,1
Complex Numbers,chi,367,2
Complex Numbers,chi,759,2
Averager,chi,759,3
Set Product,baseline,706,3
Set Product,chi,449,1
Complex Numbers,baseline,7,2
Set Product,zimmerman,224,3
All permutations,baseline,428,1
All permutations,baseline,161,3
Set Product,zimmerman,710,3
Set Product,chi,423,2
Set Product,zimmerman,695,3
All permutations,zimmerman,695,3
All permutations,zimmerman,308,1
Complex Numbers,baseline,667,2
Averager,chi,681,2
Complex Numbers,baseline,383,3
Set Product,zimmerman,82,2
Set Product,zimmerman,409,2
Averager,chi,456,2
Complex Numbers,baseline,430,2
Set Product,zimmerman,315,2
Complex Numbers,baseline,576,2
Complex Numbers,chi,379,2
Averager,chi,66,2
Complex Numbers,chi,530,2
Complex Numbers,baseline,311,2
All permutations,baseline,118,3
Complex Numbers,baseline,558,2
Set Product,chi,392,2
Set Product,chi,566,2
Set Product,chi,563,3
Averager,chi,449,1
Set Product,baseline,795,2
