problem_name,agent_id,user_id,seconds
All permutations,zimmerman,798,3511
All permutations,zimmerman,808,2749
Set Product,zimmerman,798,3241
Set Product,zimmerman,808,4674
Set Product,zimmerman,806,5670
Set Product,baseline,591,2233
Set Product,chi,571,3600
Set Product,baseline,211,5873
Set Product,baseline,64,1638
Set Product,zimmerman,162,3199
All permutations,zimmerman,162,2553
Set Product,baseline,203,263
Set Product,baseline,664,3805
Set Product,baseline,606,3322
All permutations,zimmerman,150,3131
Set Product,zimmerman,549,1979
Set Product,baseline,271,2868
All permutations,chi,571,3556
All permutations,baseline,203,540
Set Product,chi,565,2116
Set Product,zimmerman,412,2610
Set Product,zimmerman,210,1239
All permutations,baseline,88,1675
Set Product,baseline,288,725
All permutations,chi,565,1015
Set Product,zimmerman,150,2704
All permutations,baseline,591,1266
Set Product,chi,45,2589
Set Product,baseline,330,1085
Set Product,chi,775,2375
All permutations,baseline,211,1950
Set Product,chi,278,6958
Set Product,zimmerman,746,4526
Set Product,zimmerman,237,2607
All permutations,zimmerman,549,1467
Set Product,chi,182,446
Set Product,chi,334,506
Set Product,chi,723,775
Set Product,zimmerman,758,2065
Set Product,baseline,256,2983
Set Product,baseline,618,1663
Set Product,zimmerman,180,362
Set Product,chi,753,3032
Set Product,zimmerman,226,2402
Set Product,zimmerman,219,5001
Set Product,chi,238,30
Set Product,chi,662,4134
All permutations,chi,278,992
Set Product,chi,72,880
All permutations,zimmerman,806,300
Set Product,baseline,205,1130
All permutations,zimmerman,219,2643
All permutations,zimmerman,758,4267
All permutations,baseline,205,2950
All permutations,zimmerman,25,1377
Set Product,chi,127,649
Set Product,zimmerman,477,2655
Set Product,zimmerman,689,2523
All permutations,zimmerman,722,3696
Set Product,chi,611,270
Set Product,baseline,633,5826
All permutations,zimmerman,689,1215
Set Product,chi,129,1435
All permutations,chi,72,413
Set Product,zimmerman,25,1358
Set Product,chi,429,8637
Set Product,chi,444,2361
All permutations,zimmerman,595,6274
Set Product,zimmerman,771,60
Set Product,chi,365,1474
Set Product,baseline,338,2997
Set Product,zimmerman,729,2550
Set Product,baseline,302,2100
Set Product,baseline,430,3872
All permutations,chi,444,1552
Set Product,baseline,385,2060
Set Product,zimmerman,722,1887
Set Product,chi,553,2059
Set Product,chi,292,21
Set Product,chi,636,6578
All permutations,baseline,198,918
Set Product,chi,759,6943
Set Product,baseline,360,3253
All permutations,chi,365,1267
Set Product,chi,811,3625
Set Product,baseline,198,3239
Set Product,baseline,763,3093
All permutations,zimmerman,226,3163
Set Product,chi,439,967
All permutations,chi,45,1696
Set Product,zimmerman,684,6721
Set Product,chi,240,6716
Set Product,baseline,658,7667
Set Product,chi,61,2101
Set Product,zimmerman,31,3587
Set Product,zimmerman,317,2014
Set Product,zimmerman,686,8131
Set Product,chi,391,17212
Set Product,baseline,624,162
Set Product,chi,275,5696
Set Product,zimmerman,507,2494
Set Product,chi,137,4886
Set Product,zimmerman,749,4931
Set Product,baseline,328,3482
Set Product,chi,120,3611
Set Product,baseline,89,4193
Set Product,chi,479,3146
Set Product,zimmerman,355,5194
All permutations,zimmerman,729,2416
All permutations,baseline,64,2356
Set Product,zimmerman,372,1478
All permutations,chi,639,3991
All permutations,chi,345,1971
All permutations,zimmerman,237,807
Set Product,baseline,558,3420
Set Product,baseline,143,4554
Set Product,zimmerman,555,2747
All permutations,chi,61,3494
Set Product,chi,552,312
Set Product,zimmerman,171,6947
All permutations,baseline,302,1699
All permutations,zimmerman,582,164
All permutations,zimmerman,412,2046
Set Product,zimmerman,582,2173
Set Product,zimmerman,196,3273
All permutations,zimmerman,126,1738
Set Product,baseline,537,4180
All permutations,chi,636,5968
All permutations,baseline,89,2156
Set Product,chi,756,2498
Set Product,chi,762,3105
Set Product,chi,345,3498
Set Product,zimmerman,454,3379
All permutations,zimmerman,684,2005
