problem_name,agent_id,user_id,capabilities_score,ease_of_use_score
Set Product,zimmerman,798,5,4
Set Product,zimmerman,162,6,7
All permutations,baseline,591,5,4
Set Product,zimmerman,806,1,1
Set Product,zimmerman,219,1,1
All permutations,zimmerman,219,3,3
All permutations,baseline,205,4,3
Set Product,chi,636,4,6
Set Product,chi,811,2,2
All permutations,zimmerman,722,5,3
Set Product,zimmerman,555,2,6
Set Product,zimmerman,196,4,4
Set Product,zimmerman,684,2,6
Set Product,chi,492,4,7
All permutations,zimmerman,218,7,7
Set Product,baseline,58,7,7
Set Product,chi,629,6,6
Set Product,baseline,537,3,5
All permutations,zimmerman,684,3,5
Set Product,zimmerman,808,2,3
All permutations,baseline,763,1,4
All permutations,baseline,809,4,6
All permutations,zimmerman,239,4,7
All permutations,baseline,271,2,3
Set Product,baseline,306,3,3
Set Product,baseline,92,1,1
Set Product,baseline,383,2,4
Set Product,baseline,17,2,6
All permutations,zimmerman,541,7,7
Set Product,zimmerman,535,1,6
Set Product,baseline,744,6,7
All permutations,baseline,306,5,4
All permutations,zimmerman,171,2,3
Set Product,chi,90,7,7
Set Product,baseline,667,4,7
All permutations,baseline,744,3,4
Set Product,baseline,430,3,3
Set Product,chi,201,5,1
Set Product,baseline,558,5,7
Set Product,chi,379,3,5
All permutations,chi,379,2,3
All permutations,zimmerman,757,4,4
Set Product,baseline,396,7,7
Set Product,baseline,621,4,6
Set Product,zimmerman,770,5,7
All permutations,zimmerman,634,4,6
Set Product,zimmerman,50,5,7
All permutations,zimmerman,63,6,7
All permutations,baseline,769,2,1
All permutations,chi,144,6,7
Set Product,zimmerman,194,7,6
All permutations,zimmerman,194,6,6
All permutations,zimmerman,185,4,5
All permutations,zimmerman,696,4,4
All permutations,chi,170,4,7
Set Product,baseline,93,4,4
All permutations,chi,629,1,6
Set Product,zimmerman,696,6,5
Set Product,zimmerman,107,6,6
Set Product,zimmerman,432,2,3
All permutations,zimmerman,432,1,1
Set Product,zimmerman,739,4,4
All permutations,zimmerman,739,4,4
Set Product,baseline,86,3,5
Set Product,chi,737,1,1
Set Product,baseline,8,3,6
Set Product,chi,445,1,7
All permutations,chi,644,5,6
